Preço,Máximo,Mínimo,Abertura,Volume,Fechamento,Venda,Compra,Variação,Variação,Data
49.460,49.800,48.060,48.300,25203200.000,48.540,49.400,49.460,0.920,1.90,10/05/2019 
48.540,49.010,48.050,49.000,12405800.000,49.000,48.540,48.550,-0.460,-0.94,09/05/2019 
49.000,50.140,48.940,49.820,18403300.000,49.700,48.980,49.000,-0.700,-1.41,08/05/2019 
49.700,49.700,48.720,49.350,15141700.000,49.660,49.700,49.710,0.040,0.08,07/05/2019 
49.660,49.750,49.090,49.600,10409800.000,50.400,49.620,49.660,-0.740,-1.47,06/05/2019 
50.400,50.630,49.390,49.450,10549900.000,48.940,50.400,50.450,1.460,2.98,03/05/2019 
48.940,49.280,48.720,49.280,15811100.000,50.100,48.930,48.950,-1.160,-2.32,02/05/2019 
50.100,50.690,49.760,50.220,11344400.000,50.250,50.080,50.120,-0.150,-0.30,30/04/2019 
50.250,51.060,50.120,50.940,8680700.000,50.420,50.250,50.280,-0.170,-0.34,29/04/2019 
50.420,50.650,49.520,50.480,10585700.000,50.330,50.420,50.440,0.090,0.18,26/04/2019 
50.330,50.430,49.380,50.230,15873600.000,50.360,50.330,50.330,-0.030,-0.06,25/04/2019 
50.360,51.740,50.160,51.550,19928600.000,51.920,50.340,50.370,-1.560,-3.00,24/04/2019 
51.920,51.920,51.280,51.590,9860400.000,51.300,51.900,51.930,0.620,1.21,23/04/2019 
51.300,52.000,50.800,51.950,16263400.000,52.580,51.300,51.360,-1.280,-2.43,22/04/2019 
52.580,52.970,52.010,52.200,10673600.000,52.250,52.570,52.590,0.330,0.63,18/04/2019 
52.250,53.800,51.700,53.160,26436500.000,53.100,52.240,52.250,-0.850,-1.60,17/04/2019 
53.100,53.160,50.840,51.270,18751500.000,51.330,53.060,53.100,1.770,3.45,16/04/2019 
51.330,51.720,50.780,51.590,15683600.000,51.480,51.330,51.350,-0.150,-0.29,15/04/2019 
51.480,52.720,51.310,52.090,16832400.000,51.790,51.480,51.500,-0.310,-0.60,12/04/2019 
51.790,51.860,50.930,51.500,10241500.000,51.760,51.750,51.800,0.030,0.06,11/04/2019 
51.760,52.740,51.520,52.740,15576500.000,52.350,51.750,51.780,-0.590,-1.13,10/04/2019 
52.350,53.300,52.300,53.180,14233700.000,53.390,52.340,52.350,-1.040,-1.95,09/04/2019 
53.390,53.390,52.360,52.500,14322100.000,51.980,53.340,53.390,1.410,2.71,08/04/2019 
51.960,52.360,51.700,52.200,7441500.000,52.160,51.960,51.970,-0.200,-0.38,05/04/2019 
52.160,52.460,51.620,52.000,14111500.000,51.780,52.160,52.190,0.380,0.73,04/04/2019 
51.780,52.830,51.610,52.780,21410800.000,51.630,51.780,51.790,0.150,0.29,03/04/2019 
51.630,53.300,51.630,53.050,21398800.000,52.600,51.630,51.670,-0.970,-1.84,02/04/2019 
52.600,53.050,52.100,52.350,25321400.000,50.930,52.590,52.600,1.670,3.28,01/04/2019 
50.930,51.600,49.950,49.950,25030700.000,49.300,50.930,50.940,1.630,3.31,29/03/2019 
49.300,50.600,48.620,50.510,28395600.000,49.600,49.300,49.340,-0.300,-0.60,28/03/2019 
49.600,50.740,49.310,50.050,20408300.000,50.280,49.590,49.600,-0.680,-1.35,27/03/2019 
