Preço,Máximo,Mínimo,Abertura,Volume,Fechamento,Venda,Compra,Variação,Variação,Data
51.000,51.200,50.250,50.310,11914300.000,49.500,50.950,51.000,1.500,3.03,28/12/2018 
49.500,50.390,49.280,50.100,14332000.000,50.440,49.500,49.510,-0.940,-1.86,27/12/2018 
50.440,50.700,49.400,50.110,13356400.000,50.860,50.440,50.450,-0.420,-0.83,26/12/2018 
50.860,51.250,50.220,50.280,28272600.000,49.810,50.850,50.860,1.050,2.11,21/12/2018 
49.810,51.170,49.450,50.740,25323700.000,50.010,49.810,49.850,-0.200,-0.40,20/12/2018 
50.010,52.400,50.010,51.800,24414200.000,51.440,50.000,50.400,-1.430,-2.78,19/12/2018 
51.870,52.190,51.350,51.350,16550600.000,51.250,51.860,51.870,0.620,1.21,18/12/2018 
51.170,52.270,51.030,51.900,19707200.000,50.880,51.190,51.200,0.290,0.57,17/12/2018 
50.880,51.190,49.850,50.380,16910700.000,50.600,50.850,50.880,0.280,0.55,14/12/2018 
50.600,51.280,50.250,50.850,13687100.000,50.370,50.580,50.600,0.230,0.46,13/12/2018 
50.370,51.400,50.350,51.150,15808900.000,50.600,50.370,50.450,-0.230,-0.45,12/12/2018 
50.600,51.740,50.250,51.150,19443900.000,50.200,50.580,50.600,0.400,0.80,11/12/2018 
50.200,51.640,50.190,51.120,14331300.000,51.290,50.200,50.230,-1.090,-2.13,10/12/2018 
51.290,53.260,51.090,52.480,19472100.000,52.300,51.290,51.300,-1.010,-1.93,07/12/2018 
52.300,52.600,51.070,51.700,21376400.000,52.800,52.270,52.300,-0.500,-0.95,06/12/2018 
52.800,53.480,52.430,53.300,9656100.000,52.880,52.780,52.800,-0.080,-0.15,05/12/2018 
52.880,54.520,52.500,54.350,26844200.000,54.110,52.880,52.900,-1.230,-2.27,04/12/2018 
54.110,55.680,53.740,55.600,32418200.000,52.800,54.100,54.110,1.310,2.48,03/12/2018 
52.800,53.690,51.560,51.560,29502000.000,52.000,52.800,52.870,0.800,1.54,30/11/2018 
52.000,52.730,51.130,51.920,23362000.000,52.300,52.000,52.050,-0.300,-0.57,29/11/2018 
52.300,52.320,50.220,50.500,29038300.000,49.920,52.270,52.300,2.380,4.77,28/11/2018 
49.920,50.490,49.100,49.690,25582700.000,50.120,49.920,49.970,-0.200,-0.40,27/11/2018 
50.120,51.090,49.000,49.950,30327300.000,50.350,50.010,50.120,-0.230,-0.46,26/11/2018 
50.350,53.390,50.350,53.390,33531500.000,54.040,50.350,50.380,-3.690,-6.83,23/11/2018 
54.040,54.720,53.750,54.690,9255400.000,54.530,54.030,54.040,-0.490,-0.90,22/11/2018 
54.530,54.550,53.710,54.150,18590600.000,55.370,54.530,54.540,-0.840,-1.52,21/11/2018 
55.370,56.280,54.810,56.150,12979700.000,56.150,55.350,55.400,-0.780,-1.39,19/11/2018 
56.150,56.350,55.150,55.850,19633700.000,55.160,56.150,56.160,0.990,1.79,16/11/2018 
55.160,55.670,54.250,55.210,28360900.000,56.270,55.010,55.170,-1.110,-1.97,14/11/2018 
56.270,56.270,54.350,54.900,18790200.000,54.850,56.230,56.280,1.420,2.59,13/11/2018 
54.850,55.450,54.400,55.100,15985200.000,54.650,54.850,54.890,0.200,0.37,12/11/2018 
54.650,57.000,54.130,56.500,29209700.000,57.020,54.640,54.650,-2.370,-4.16,09/11/2018 
57.020,58.770,57.020,57.780,16743700.000,57.590,57.020,57.150,-0.570,-0.99,08/11/2018 
57.590,58.150,57.400,57.700,12982500.000,57.230,57.510,57.600,0.360,0.63,07/11/2018 
57.230,57.850,56.560,57.000,11211000.000,57.530,57.230,57.240,-0.300,-0.52,06/11/2018 
57.530,58.000,57.040,57.610,15491800.000,57.500,57.510,57.550,0.030,0.05,05/11/2018 
57.500,58.260,55.520,56.750,20324500.000,56.710,57.500,57.500,0.790,1.39,01/11/2018 
56.710,56.710,54.270,54.350,26504500.000,53.870,56.610,56.710,2.840,5.27,31/10/2018 
53.870,54.850,52.960,53.600,23719300.000,53.100,53.870,53.900,0.770,1.45,30/10/2018 
53.100,56.500,52.600,56.500,26110400.000,55.600,53.100,53.130,-2.500,-4.50,29/10/2018 
55.600,55.890,53.510,54.900,26532900.000,54.610,55.600,55.610,0.990,1.81,26/10/2018 
54.610,56.040,53.800,55.970,29348100.000,54.430,54.610,54.650,0.180,0.33,25/10/2018 
54.430,57.590,54.430,57.400,17701500.000,56.750,54.430,54.450,-2.320,-4.09,24/10/2018 
