Date,Time,Open,High,Low,Close,Volume,Spread
21/03/2019,17:50:00,96945.00,97175.00,96925.00,97175.00,328958337.00,16942
21/03/2019,17:45:00,97030.00,97065.00,96890.00,96955.00,382781712.00,19738
21/03/2019,17:40:00,97015.00,97085.00,96960.00,97025.00,373970543.00,19271
21/03/2019,17:35:00,96940.00,97030.00,96885.00,97020.00,306880230.00,15825
21/03/2019,17:30:00,96830.00,97065.00,96825.00,96940.00,633299756.00,32658
21/03/2019,17:25:00,96810.00,96845.00,96805.00,96825.00,182777396.00,9438
21/03/2019,17:20:00,96775.00,96855.00,96770.00,96805.00,342195633.00,17673
21/03/2019,17:15:00,96825.00,96850.00,96720.00,96770.00,592818794.00,30627
21/03/2019,17:10:00,96890.00,96895.00,96780.00,96820.00,646877449.00,33401
21/03/2019,17:05:00,97030.00,97030.00,96850.00,96890.00,723391033.00,37318
21/03/2019,17:00:00,97160.00,97165.00,96990.00,97025.00,576103076.00,29673
21/03/2019,16:55:00,96970.00,97165.00,96885.00,97165.00,1060250056.00,54633
21/03/2019,16:50:00,97080.00,97140.00,96955.00,96970.00,834107740.00,42972
21/03/2019,16:45:00,97025.00,97145.00,97020.00,97080.00,611072706.00,31467
21/03/2019,16:40:00,97040.00,97175.00,96970.00,97025.00,819521598.00,42207
21/03/2019,16:35:00,97145.00,97220.00,96810.00,97040.00,1911800023.00,98537
21/03/2019,16:30:00,97235.00,97305.00,97110.00,97140.00,1012771732.00,52080
21/03/2019,16:25:00,97460.00,97475.00,97235.00,97240.00,1173045026.00,60258
21/03/2019,16:20:00,97145.00,97480.00,97145.00,97460.00,1106525313.00,56865
21/03/2019,16:15:00,97130.00,97200.00,97100.00,97145.00,595367016.00,30640
21/03/2019,16:10:00,97140.00,97180.00,97035.00,97130.00,741016519.00,38156
21/03/2019,16:05:00,97170.00,97240.00,97110.00,97135.00,903121748.00,46471
21/03/2019,16:00:00,96975.00,97185.00,96945.00,97165.00,937076265.00,48259
21/03/2019,15:55:00,97180.00,97285.00,96920.00,96975.00,1644507103.00,84636
21/03/2019,15:50:00,97195.00,97200.00,97075.00,97185.00,813875344.00,41893
21/03/2019,15:45:00,97145.00,97225.00,97095.00,97195.00,948496253.00,48807
21/03/2019,15:40:00,96935.00,97150.00,96880.00,97145.00,936766458.00,48281
21/03/2019,15:35:00,96980.00,97090.00,96875.00,96945.00,1602104191.00,82580
21/03/2019,15:30:00,96950.00,96995.00,96815.00,96975.00,914251956.00,47171
21/03/2019,15:25:00,96985.00,96995.00,96850.00,96945.00,936512718.00,48314
21/03/2019,15:20:00,96880.00,97000.00,96785.00,96985.00,1592774045.00,82203
21/03/2019,15:15:00,97180.00,97185.00,96855.00,96885.00,1945392085.00,100279
21/03/2019,15:10:00,97080.00,97245.00,97055.00,97180.00,1939673647.00,99820
